date,title,link,source,ticker
2025-08-06 16:59:00,Apple Announces $100 Billion US Investment Ahead of Trump Event,https://finance.yahoo.com/news/trump-apple-announce-fresh-100-130329501.html,Bloomberg,AAPL
2025-08-06 16:46:00,Apple commits additional $100 billion to US investments,https://finance.yahoo.com/news/apple-commits-additional-100-billion-204653863.html,Reuters,AAPL
2025-08-06 16:11:00,Apple to Invest $100 Billion in US: White House,https://finance.yahoo.com/video/apple-invest-100-billion-us-201118087.html,Bloomberg,AAPL
2025-08-06 16:07:00,Airbnb forecasts Q3 revenue above estimates; plans $6 billion share buyback,https://finance.yahoo.com/news/airbnb-forecasts-quarterly-revenue-above-200754622.html,Reuters,ABNB
2025-08-06 14:36:00,"Trump, Apple to Announce Fresh $100 Billion US Investment",https://finance.yahoo.com/video/trump-apple-announce-fresh-100-183615172.html,Bloomberg,AAPL
2025-08-06 11:52:00,"Disneys ESPN to Buy NFL Network, Other Assets in Stock Swap",https://finance.yahoo.com/news/disney-espn-buy-nfl-network-001024438.html,Bloomberg,AAPL
2025-08-06 09:59:00,Apple to Invest Another $100 Billion in US,https://finance.yahoo.com/video/apple-invest-another-100-billion-135954737.html,Bloomberg,AAPL
2025-08-06 09:32:00,Apple to Boost US Investment by $100B,https://finance.yahoo.com/video/apple-boost-us-investment-100b-133235897.html,Bloomberg,AAPL
2025-08-06 09:15:00,OpenAI in Talks for Share Sale at $500 Billion Valuation,https://finance.yahoo.com/news/openai-talks-share-sale-500-022951794.html,Bloomberg,AAPL
2025-08-06 08:30:00,"Apple to pledge $100 billion for US manufacturing, White House official says",https://finance.yahoo.com/news/white-house-adviser-apple-likely-123003756.html,Reuters,AAPL
2025-08-06 08:02:00,"CDW tops quarterly estimates on steady demand from healthcare, government customers",https://finance.yahoo.com/news/cdw-tops-quarterly-estimates-steady-120229231.html,Reuters,AAPL
2025-08-06 06:16:00,"Hungary's Richter says some US exports face tariff challenges, but flagship drug exempt",https://finance.yahoo.com/news/hungarys-richter-says-us-exports-101651338.html,Reuters,ABBV
2025-08-06 03:00:00,Trump Says Japan to Import Fords Huge F-150 Pickup Trucks,https://finance.yahoo.com/news/trump-says-japan-import-ford-070039056.html,Bloomberg,AAPL
2025-08-05 22:50:00,"Nvidia reiterates its chips have no backdoors, urges US against location verification",https://finance.yahoo.com/m/9f3224f8-5d2a-3c5c-9cbd-7a6af08d61d3/nvidia-reiterates-its-chips.html,Reuters,NVDA
2025-08-05 22:22:00,"Asian shares track Wall Street lower, dollar rangebound",https://finance.yahoo.com/news/asian-shares-track-wall-street-022202018.html,Reuters,CAT
2025-08-05 22:22:00,"Asian shares track Wall Street lower, dollar rangebound",https://finance.yahoo.com/news/asian-shares-track-wall-street-022202018.html,Reuters,YUM
2025-08-05 21:44:00,"OpenAI eyes $500 billion valuation in potential employee share sale, source says",https://finance.yahoo.com/news/openai-talks-share-sale-valuing-014446109.html,Reuters,MSFT
2025-08-05 19:29:00,"US Explores Location Trackers for AI Chips, Official Says",https://finance.yahoo.com/news/us-explores-better-location-trackers-012852549.html,Bloomberg,AMD
2025-08-05 19:29:00,"US Explores Location Trackers for AI Chips, Official Says",https://finance.yahoo.com/news/us-explores-better-location-trackers-012852549.html,Bloomberg,NVDA
2025-08-05 19:27:00,US Charges Chinese Nationals With Nvidia Chips Export Breach,https://finance.yahoo.com/news/us-charges-chinese-nationals-nvidia-184517221.html,Bloomberg,NVDA
2025-08-05 17:07:00,Apple supplier Skyworks forecasts upbeat quarterly results on strong chip demand,https://finance.yahoo.com/news/apple-supplier-skyworks-forecasts-upbeat-210749444.html,Reuters,AAPL
2025-08-05 17:07:00,Apple supplier Skyworks forecasts upbeat quarterly results on strong chip demand,https://finance.yahoo.com/news/apple-supplier-skyworks-forecasts-upbeat-210749444.html,Reuters,SWKS
2025-08-05 16:38:00,Arista forecasts upbeat third-quarter revenue on strong demand for networking equipment,https://finance.yahoo.com/news/arista-forecasts-upbeat-third-quarter-203852761.html,Reuters,ANET
