Date,Title,Link,Source
11/25/2024 21:38,"Google, Meta urge Australia to delay bill on social media ban for children",https://finance.yahoo.com/news/google-meta-urge-australia-delay-023851453.html,Reuters
11/25/2024 18:12,Google Arguments Draw Skepticism From Judge in Ad Tech Case,https://finance.yahoo.com/news/google-arguments-draw-skepticism-judge-210948215.html,Bloomberg
11/25/2024 8:00,AI Boom Propels a Wild-West-Era Texas Landowner to 230% Stock Rally,https://finance.yahoo.com/news/ai-boom-propels-wild-west-130008287.html,Bloomberg
11/25/2024 6:04,Google's US antitrust trial over online ad empire draws to a close,https://finance.yahoo.com/news/googles-us-antitrust-trial-over-110416788.html,Reuters
11/22/2024 11:37,Amazon Invests an Additional $4 Billion in AI Firm Anthropic,https://finance.yahoo.com/news/amazon-investing-additional-4-billion-141923618.html,Bloomberg
11/22/2024 8:30,"Apple, Google Risk UK Probe Over Mobile Browser Dominance",https://finance.yahoo.com/news/apple-google-risk-uk-probe-133029235.html,Bloomberg
11/22/2024 6:45,"UK should use new powers to probe Apple-Google mobile browser duopoly, report says",https://finance.yahoo.com/news/uk-regulator-consider-probing-apples-114555053.html,Reuters
11/21/2024 15:23,Analysis-Legal hurdles ahead for Google's forced sale of Chrome,https://finance.yahoo.com/news/analysis-legal-hurdles-ahead-googles-202323445.html,Reuters
11/26/2024 13:02,US judge will not delay Google search trial for DOJ switch to Trump administration,https://finance.yahoo.com/news/us-google-search-antitrust-trial-180226867.html,Reuters
11/26/2024 9:46,"Software Is In, Chips Are Out as Traders Position for Trump Era",https://finance.yahoo.com/news/software-chips-traders-position-trump-120125891.html,Bloomberg
11/26/2024 1:07,Google proposes fresh tweaks to search results in Europe,https://finance.yahoo.com/news/google-proposes-fresh-tweaks-search-060704948.html,Reuters
11/27/2024 15:26,Google asks US appeals court to reject app store monopoly verdict,https://ca.finance.yahoo.com/news/google-asks-us-appeals-court-202651452.html,Reuters
11/27/2024 15:29,Google Seeks to Undo Epic Games Antitrust Win Over App Store,https://finance.yahoo.com/news/google-seeks-undo-epic-games-192000053.html,Bloomberg
11/28/2024 9:52,India competition watchdog to investigate Google's gaming app policy,https://finance.yahoo.com/news/india-competition-watchdog-investigate-googles-145226865.html,Reuters
11/28/2024 15:34,Canada's antitrust watchdog sues Google alleging anti-competitive conduct in advertising,https://finance.yahoo.com/news/canadas-antitrust-watchdog-sues-google-203422081.html,Reuters
11/28/2024 16:05,"Canada Antitrust Watchdog Sues Google, Seeking Ad Tech Breakup",https://finance.yahoo.com/news/canada-antitrust-watchdog-sues-google-210513665.html,Bloomberg
11/28/2024 21:11,K-Pop Stars Quit Hybe in Shock Revolt That Slams Studios Stock,https://finance.yahoo.com/news/k-pop-group-newjeans-says-233209316.html,Bloomberg
12/3/2024 6:05,Microsoft faces UK lawsuit over cloud computing licences,https://finance.yahoo.com/news/microsoft-faces-uk-lawsuit-over-110505160.html,Reuters
12/3/2024 23:27,"Australia urges greater internet user choice amid Google dominance, genAI",https://finance.yahoo.com/news/australia-urges-greater-internet-user-042709184.html,Reuters
12/4/2024 0:43,Malaysia Faces Backlash Over Plan to Broaden Internet Controls,https://finance.yahoo.com/news/malaysia-faces-backlash-over-plan-054354687.html,Bloomberg
12/4/2024 13:36,Trump Taps Vance Aide Gail Slater as Top DOJ Antitrust Cop,https://finance.yahoo.com/news/trump-taps-vance-aide-gail-183617977.html,Bloomberg
12/5/2024 3:49,"Google Split Still on the Table, New EU Antitrust Chief Says",https://finance.yahoo.com/news/google-split-still-table-eu-080658938.html,Bloomberg
12/5/2024 10:02,Alphabet's Waymo to expand ride-hailing services to Miami,https://finance.yahoo.com/news/alphabets-waymo-expand-ride-hailing-150225313.html,Reuters
12/5/2024 10:08,"TikTok Ruling in Focus for Meta, Alphabet, Oracle Investors",https://finance.yahoo.com/news/traders-game-tiktok-scenarios-meta-102951752.html,Bloomberg
12/6/2024 13:22,TikTok advertisers stay put after US appeals court upholds law forcing sale,https://ca.finance.yahoo.com/news/meta-shares-hit-record-high-182213775.html,Reuters
12/8/2024 14:32,"Trump aides contact Google, Meta, Snap over online drug sales, The Information reports",https://finance.yahoo.com/m/e78eeaf0-014e-38ab-901f-155c695a90c6/trump-aides-contact-google%2C.html,Reuters
12/9/2024 9:00,Reddit to Launch AI-Powered Chatbot to Ward Off Search Engines,https://finance.yahoo.com/news/reddit-launch-ai-powered-chatbot-140000462.html,Bloomberg
12/9/2024 9:03,Trump Is on Collision Course With EU Over Big Tech Crackdown,https://finance.yahoo.com/m/1f3de1b0-7e88-3068-9c0d-c214e18e2f0c/trump-is-on-collision-course.html,Bloomberg
12/9/2024 14:27,Cloud Computing Tax Threatens Chicagos Silicon Valley Ambitions,https://finance.yahoo.com/news/cloud-computing-tax-threatens-chicago-192729762.html,Bloomberg
12/10/2024 1:02,Baillie Cools on Tech in Favor of Boring Infrastructure Stocks,https://finance.yahoo.com/news/baillie-cools-tech-favor-boring-060229038.html,Bloomberg
12/10/2024 9:09,Google invests in Intersect Power in over $800 million funding round amid AI race,https://finance.yahoo.com/news/google-invests-intersect-power-over-140946469.html,Reuters
12/10/2024 9:49,Cloud Computing Tax Threatens Chicagos Silicon Valley Dream,https://finance.yahoo.com/news/cloud-computing-tax-threatens-chicago-192729762.html,Bloomberg
12/10/2024 11:31,Google parent Alphabet jumps on quantum chip breakthrough,https://finance.yahoo.com/news/google-parent-alphabet-jumps-quantum-163158160.html,Reuters
12/10/2024 12:18,"Brussels seeks more information on secret Google-Meta ads deal targeting teens, FT reports",https://finance.yahoo.com/m/b3e11604-af45-3fc3-afdc-75f87f11b71e/brussels-seeks-more.html,Reuters
12/10/2024 16:10,Alphabet Climbs After Breakthrough With Willow Quantum Chip,https://finance.yahoo.com/news/alphabet-climbs-following-breakthrough-willow-155044792.html,Bloomberg
12/10/2024 18:19,"Google's biggest bet is AI for search, investment chief says",https://ca.finance.yahoo.com/news/googles-biggest-bet-ai-search-231903826.html,Reuters
12/10/2024 19:32,"Google asks FTC to break up Microsoft's cloud deal with OpenAI, the Information says",https://finance.yahoo.com/news/google-asks-ftc-break-microsofts-003239843.html,Reuters
12/10/2024 19:49,GM Calls It Quits on Mary Barras $50 Billion Robotaxi Dream,https://finance.yahoo.com/news/gm-calls-quits-mary-barra-004909597.html,Bloomberg
12/10/2024 20:26,Googles Top Lobbyist Departs During Continued Regulatory Scrutiny,https://finance.yahoo.com/news/google-top-lobbyist-departs-during-012656020.html,Bloomberg
12/11/2024 8:24,GM's Cruise exit turns focus on challenges of scaling robotaxis,https://finance.yahoo.com/news/gms-cruise-exit-turns-focus-132404616.html,Reuters
12/11/2024 9:40,GM Calls It Quits on Mary Barras $50 Billion Robotaxi Dream,https://finance.yahoo.com/news/gm-calls-quits-mary-barra-004909597.html,Bloomberg
12/11/2024 10:00,Google defeats UK privacy lawsuit over medical data deal,https://finance.yahoo.com/m/85539312-eefb-32c0-89a4-96a1377d0f07/google-defeats-uk-privacy.html,Reuters
12/11/2024 10:30,Google Rolls Out Faster Gemini AI Model to Power Agents,https://finance.yahoo.com/news/google-rolls-faster-gemini-ai-153002147.html,Bloomberg
12/11/2024 10:32,Google puts AI agents at the center of Gemini update,https://finance.yahoo.com/news/google-puts-ai-agents-center-153242320.html,Reuters
12/11/2024 14:39,"Rivals criticise Google's search result changes, call for EU antitrust charges",https://finance.yahoo.com/news/rivals-criticise-googles-search-result-193908185.html,Reuters
12/11/2024 14:43,Adobe Results Seen as Make-or-Break to Prove AI Credentials,https://finance.yahoo.com/news/adobe-results-seen-break-prove-143937870.html,Bloomberg
12/11/2024 15:39,Wall Street mostly upbeat on GM's decision to pull the plug on Cruise,https://finance.yahoo.com/news/wall-street-mostly-upbeat-gms-203947816.html,Reuters
12/11/2024 15:41,Google-parent Alphabet hits record high after Trump taps Andrew Ferguson as FTC chair,https://finance.yahoo.com/news/google-parent-alphabet-hits-record-204118005.html,Reuters
12/11/2024 16:20,Microsoft Sees $800 Million Charge on Stake in GMs Cruise,https://finance.yahoo.com/news/microsoft-sees-800-million-charge-212052113.html,Bloomberg
12/12/2024 7:00,"Google, John Doerr Bet on Startup Using Crushed Rocks to Capture CO2",https://finance.yahoo.com/news/google-john-doerr-bet-startup-120002940.html,Bloomberg
12/12/2024 7:12,'Fortnite' maker Epic brings game store to millions of Android devices with Telefonica tie-up,https://finance.yahoo.com/m/c17f1de2-30f9-3a5f-96f6-2c6dcb2652ff/%27fortnite%27-maker-epic-brings.html,Reuters
12/12/2024 9:05,Google says feedback shows old search result format is bad for hotels,https://finance.yahoo.com/news/google-says-feedback-shows-old-140517877.html,Reuters
12/12/2024 11:00,"Google Unveils Mixed-Reality Headset With Samsung, Taking on Apple and Meta",https://finance.yahoo.com/news/google-unveils-mixed-reality-headset-160000685.html,Bloomberg
12/13/2024 8:30,Turkey fines Google $75 million for violating competition law,https://finance.yahoo.com/news/turkey-fines-google-75-million-133024226.html,Reuters
12/13/2024 9:59,Angolas Isabel Dos Santos Signals She May Run for President,https://finance.yahoo.com/m/c18a38b5-4f9a-34ca-9fce-7b4f7ff4a6cb/angola%E2%80%99s-isabel-dos-santos.html,Bloomberg
12/13/2024 11:37,"US lawmakers tell Apple, Google to be ready to remove TikTok from app stores on Jan. 19",https://finance.yahoo.com/news/us-lawmakers-tell-apple-google-163714117.html,Reuters
12/13/2024 11:37,"US lawmakers tell Apple, Google to be ready to remove TikTok from app stores Jan. 19",https://finance.yahoo.com/m/4fe0e6bd-97ff-3b7d-8cc3-d9b9988fffa4/us-lawmakers-tell-apple%2C.html,Reuters
12/13/2024 14:28,"Exclusive-Major cloud providers could get key role in AI chip access outside the US, sources say",https://finance.yahoo.com/news/exclusive-major-cloud-providers-could-192827134.html,Reuters
12/13/2024 14:28,Exclusive-Major cloud providers could get key role in AI chip access outside the US - sources,https://finance.yahoo.com/m/054bc718-1c88-32f9-a4c9-42b68300df3a/exclusive-major-cloud.html,Reuters
12/16/2024 13:23,OpenAI Rolls Out ChatGPT Search Features to All Users,https://finance.yahoo.com/news/openai-rolls-chatgpt-search-features-182349646.html,Bloomberg
12/18/2024 9:49,Alphabet ends 2024 on high with help from quantum tech leap,https://finance.yahoo.com/news/alphabet-stock-mojo-back-help-095247034.html,Bloomberg
